MOVNTI;m,r;~350
DIV;r8;20-24
DIV;r16;21-25
DIV;r32;20-28
DIV;r64;30-94
IDIV;r8;21-24
IDIV;r16;21-25
IDIV;r32;20-27
IDIV;r64;40-103
RCR;r8,1;high
REP LODS;;~2n
REP STOS;;n
REP STOS;;1/16B
REP MOVS;;1.5 n
REP MOVS;;1/16B
REP SCAS;;2n+45
REP CMPS;;2n+80
ENTER;a,b;84+3b
CPUID;;100-250
FDIV(R)(P);r;10-24
FPREM1;;26-50
FSQRT;;10-24
FSIN;;47-100
FCOS;;47-115
FSINCOS;;43-123
F2XM1;;61-69
FPATAN;;93-146
MOVNTQ;m64,mm;~300
MOVNTDQ;m128,x;~300
PCMPESTRM;x,x,i;11-12
MOVNTPS/D;m128,x;~300
VMOVNTPS/D;m256,y;~300
DIVSS DIVPS;x,x;10-14
VDIVPS;y,y,y;21-29
DIVSD DIVPD;x,x;10-22
VDIVPD;y,y,y;21-45
SQRTSS/PS;x,x;10-14
SQRTSD/PD;x,x;10-21
VSQRTPD;y,y;21-43
XSAVEOPT;m;60-500