XCHG;r,m;~38
LEA;r16,[m];2-3
DIV;r8/m8;17-22
DIV;r16/m16;15-25
DIV;r32/m32;13-39
DIV;r64/m64;13-70
IDIV;r8/m8;17-22
IDIV;r16/m16;14-25
IDIV;r32/m32;13-39
IDIV;r64/m64;13-70
LOCK ADD;m,r;~39
XADD;m,r;9-12
LOCK XADD;m,r;~39
LOCK CMPXCHG;m8,r8;~40
LOCK CMPXCHG;m16,r16;~40
LOCK CMPXCHG;m,r32/64;~40
CMPXCHG8B;m64;~14
LOCK CMPXCHG8B;m64;~42
CMPXCHG16B;m128;~47
LOCK CMPXCHG16B;m128;~80
FDIV(R)(P);r;9-37
FPREM FPREM1;;17-60
FSQRT;;10-50
FSIN;;60-210
FCOS;;76-158
FPTAN;;90-245
FPATAN;;60-440
F2XM1;;60-74
FYL2X;;60-280
FYL2XP1;;~390
VMASKMOVPS/D;m128,x,x;~35
VMASKMOVPS/D;m256,y,y;~35
ADDSS/D SUBSS/D;x,x/m;5-6
ADDPS/D SUBPS/D;x,x/m;5-6
VADDPS/D VSUBPS/D;y,y,y/m;5-6
ADDSUBPS/D;x,x/m;5-6
VADDSUBPS/D;y,y,y/m;5-6
MULSS MULSD;x,x/m;5-6
MULPS MULPD;x,x/m;5-6
VMULPS VMULPD;y,y,y/m;5-6
DIVSS DIVPS;x,x/m;9-17
VDIVPS;y,y,y/m;9-17
DIVSD DIVPD;x,x/m;9-32
VDIVPD;y,y,y/m;9-32
VFMADD132SS/SD;x,x,x/m;5-6
VFMADD132PS/PD;x,x,x/m;5-6
VFMADD132PS/PD;y,y,y/m;5-6
VFMADDSS/SD;x,x,x,x/m;5-6
VFMADDPS/PD;x,x,x,x/m;5-6
VFMADDPS/PD;y,y,y,y/m;5-6
SQRTSS/PS;x,x/m;12-13
VSQRTPS;y,y/m;12-13
SQRTSD/PD;x,x/m;26-29
VSQRTPD;y,y/m;27-28